1	2	8	16	19	24
14	22	23	27	28	31
2	5	12	23	28	29
1	12	14	18	26	32
2	5	14	19	27	31
2	3	13	20	22	24
3	5	11	28	30	33
10	12	13	19	22	26
6	14	15	16	17	22
5	8	11	16	18	27
1	3	8	11	22	28
7	10	19	22	27	33
10	11	15	20	23	29
5	13	22	27	30	33
2	3	5	12	18	27
5	8	9	12	22	28
5	7	11	16	22	25
1	3	20	21	28	29
16	21	24	26	27	29
2	8	10	18	23	31
1	4	11	21	23	31
4	11	12	18	26	32
4	6	15	23	26	28
1	7	8	14	24	32
4	7	9	13	21	26
1	5	7	8	19	27
1	3	10	19	20	27
8	14	16	18	20	30
5	7	16	17	22	23
1	8	9	16	32	33
2	12	19	22	24	27
7	14	16	18	21	25
1	3	4	23	31	32
9	10	16	19	20	26
9	18	21	23	25	26
6	8	13	26	30	32
7	9	12	14	21	23
8	16	22	24	28	29
2	3	11	17	19	21
6	7	10	11	14	22
6	9	13	26	27	33
9	12	14	20	26	27
6	16	17	23	24	31
4	15	21	28	30	31
1	4	6	13	16	17
1	3	13	21	25	31
9	15	19	21	26	27
5	7	17	19	22	31
10	12	14	22	25	33
12	14	19	27	28	29
2	12	20	24	29	31
9	15	16	19	20	28
5	6	8	16	18	22
2	8	25	27	28	29
15	18	20	22	28	29
6	7	16	18	29	32
2	8	9	14	28	30
13	20	22	26	28	31
14	17	25	27	28	30
9	14	15	20	26	32
3	7	20	22	26	29
1	6	8	10	13	27
1	9	10	19	23	27
6	11	13	19	21	32
4	7	21	25	26	29
1	2	17	22	26	27
1	3	5	20	21	31
8	18	20	28	29	31
1	7	13	19	21	29
1	13	17	18	23	30
6	15	18	21	26	27
2	5	8	24	25	31
5	8	11	17	24	28
8	10	14	19	26	29
11	12	14	17	23	27
1	7	9	16	22	32
9	14	15	18	21	26
6	18	22	26	32	33
1	3	18	27	31	32
2	6	9	16	25	32
2	9	10	18	19	20
9	20	24	25	26	32
1	7	8	16	18	20
1	10	15	18	19	28
1	2	7	10	22	26
3	7	17	22	32	33
2	4	11	16	25	26
4	10	24	26	28	32
3	9	12	16	17	31
7	12	14	17	20	23
13	16	17	22	25	27
2	3	20	24	26	27
5	7	10	14	23	31
1	5	13	22	30	31
2	3	4	13	14	16
11	12	15	24	26	27
9	10	19	21	23	32
4	9	11	17	21	25
13	16	18	27	30	32
1	13	15	26	29	30
5	6	11	12	14	33
5	7	12	18	28	31
4	6	16	17	26	33
1	8	9	22	24	33
12	13	17	18	20	27
3	6	21	29	31	32
11	14	16	18	29	32
1	5	7	22	26	32
8	11	14	15	16	26
7	14	15	19	21	28
4	7	10	26	27	28
5	7	9	16	26	29
2	13	17	21	22	33
10	11	12	15	27	32
9	11	16	18	23	24
8	9	10	13	29	30
4	7	10	16	23	25
14	15	16	17	27	28
1	4	7	19	22	23
2	6	11	19	25	26
6	9	12	14	28	29
13	18	20	25	27	33
2	6	10	15	17	31
1	7	20	24	25	33
2	12	16	19	27	30
8	9	24	25	26	29
3	5	22	23	29	31
4	14	15	17	18	20
1	2	3	8	21	31
4	7	14	17	21	25
4	7	10	16	20	22
1	7	9	17	20	33
1	10	11	29	31	33
7	10	16	17	18	32
2	14	15	16	23	24
10	15	20	23	24	31
7	15	16	25	28	32
1	7	9	16	20	23
8	13	15	20	21	25
4	5	8	11	21	27
3	8	14	22	24	32
7	9	10	15	19	33
1	2	5	12	15	16
6	7	22	26	31	32
1	6	13	20	29	32
10	12	13	23	26	29
3	5	6	9	10	27
3	12	18	20	25	26
6	21	22	23	25	28
8	9	11	16	21	24
6	10	11	14	17	33
1	14	15	20	25	29
4	6	13	29	31	33
3	6	9	11	25	29
3	16	19	27	31	32
2	4	11	13	25	33
5	16	22	23	26	28
13	14	16	23	30	31
5	6	14	15	18	33
5	17	21	22	28	32
1	2	10	24	30	33
5	8	9	20	28	32
5	7	8	17	18	24
2	10	12	21	23	27
6	11	16	17	22	27
10	11	15	26	31	32
2	17	20	24	31	33
1	6	11	17	28	33
6	9	11	16	20	29
1	2	13	22	28	30
1	7	12	16	23	28
6	13	17	20	26	29
5	7	15	18	26	30
5	10	17	25	28	29
9	10	14	15	19	29
1	9	10	11	13	32
2	7	23	30	32	33
12	14	28	31	32	33
1	15	16	21	24	30
2	8	17	20	22	28
1	8	11	13	19	30
2	5	11	15	19	28
3	8	9	20	23	28
11	14	17	22	25	27
9	14	17	18	21	25
14	16	17	19	27	32
2	6	12	19	27	28
3	8	9	10	18	33
14	16	21	24	28	31
16	18	20	23	24	32
1	6	9	10	14	16
1	5	10	11	13	32
2	13	17	20	29	31
7	13	24	25	27	32
12	14	17	19	22	24
5	6	8	14	22	31
1	10	18	20	23	29
2	8	9	10	20	29
3	13	18	19	22	26
1	5	12	19	27	29
5	9	11	19	24	32
4	6	14	17	27	30
3	6	11	14	16	29
6	18	22	23	32	33
2	4	10	12	14	30
1	2	11	19	23	29
1	6	9	10	13	25
5	6	19	21	23	33
2	4	20	25	26	29
8	14	22	24	27	29
5	14	16	17	25	30
2	7	16	22	27	28
2	3	5	6	9	17
8	9	12	15	19	22
6	10	12	17	18	33
3	9	11	22	27	29
1	3	6	13	30	31
1	12	16	20	30	33
1	3	7	13	19	32
2	4	12	17	22	25
1	7	9	19	28	29
5	12	17	19	25	30
4	12	13	22	27	29
1	6	7	17	18	23
2	5	15	17	18	21
3	4	5	8	10	22
2	9	15	16	29	32
3	8	17	21	22	31
6	9	15	24	25	26
2	14	17	27	28	31
3	5	14	18	25	33
5	8	12	13	23	25
2	3	12	13	14	25
2	4	12	18	23	31
1	11	18	20	28	29
2	9	14	19	21	30
1	4	5	11	29	30
14	17	19	22	26	31
9	13	15	28	30	33
10	16	19	21	23	24
3	17	23	25	26	32
6	7	16	17	23	32
6	9	16	17	24	25
8	10	11	12	19	29
2	10	11	17	18	22
2	4	9	11	19	22
4	9	21	27	28	33
2	5	9	14	24	33
12	15	20	25	28	33
7	11	16	18	21	22
3	4	6	11	12	15
3	11	15	19	20	31
4	7	22	23	24	33
6	13	14	24	25	30
1	7	8	9	11	22
